country,AVG
Uganda,104.30000305175781
Egypt,104.23927879333496
Mongolia,89.1986935933431
Cameroon,82.66666666666667
Ghana,81.08333282470703
Iraq,79.51472473144531
Pakistan,79.49166615804036
Bangladesh,75.04561885197957
Saudi Arabia,65.3791561126709
India,64.01347685362164
Kuwait,63.764194117652046
United Arab Emirates,56.74671745300293
Bahrain,56.0333677927653
China,53.52779687964398
Bhutan,51.77089962206389
Nepal,49.11000061035156
Myanmar,47.317250887552895
Bosnia and Herzegovina,43.02787699018206
The former Yugoslav Republic of Macedonia,42.00969009399414
Peru,41.99596436818441
Indonesia,38.932228088378906
"Bolivia, Plurinational States of",38.3123893737793
Qatar,38
Guatemala,36.81437606811524
Madagascar,36.79999923706055
Iran (Islamic Republic of),36.21902378006737
Sri Lanka,35.59621047973633
El Salvador,35.46428544180734
Cuba,34.79999923706055
Oman,34.686805725097656
Turkey,33.42204447629604
Montenegro,33.31818567911784
Tunisia,33.2785439491272
Jordan,32.2422477722168
Philippines,32.19368287288781
Lebanon,30.125
South Africa,29.962062028738167
Belarus,28.87057835405523
Thailand,28.559495794362036
Senegal,28.3
Chile,26.073086045723592
"Venezuela, Bolivarian Republic of",25.447742462158203
Republic of Korea,25.378006108601888
Mexico,25.00769216280717
Poland,24.250526608667112
Bulgaria,24.196780547117577
Morocco,23.791715621948242
Honduras,23.689655303955078
United Republic of Tanzania,23.325000762939453
Ukraine,22
Mauritius,21.967002868652344
Costa Rica,21.742038454328263
Serbia,21.51564254760742
Israel,21.455317870430324
Colombia,21.359024213707965
Georgia,20.163296699523926
Slovenia,19.727653092351453
Jamaica,19.179073691368103
Czechia,18.851338412940308
Croatia,18.559876203536987
Paraguay,18.399999618530273
Singapore,18
Slovakia,17.937555060094716
Greece,17.226347192804862
Ecuador,17.154904062097724
Hungary,17.114408560202154
Albania,17.01067786746555
Kenya,17
Italy,16.89852919845581
Romania,16.30858125630215
Malaysia,16.183604558308918
Viet Nam,16.130444464476213
Cyprus,15.58293871084849
Brazil,15.49789054906821
Latvia,15.141224575042724
Japan,14.849888865152995
Lithuania,14.347233307361602
Panama,14
Russian Federation,14
Belgium,13.452670144330105
Austria,13.369785830659687
Switzerland,13.044169415106584
Malta,12.883860951378232
Germany,12.794996521770399
France,12.772387684944611
Andorra,12.484095001220703
Argentina,12.449307441711426
Netherlands,12.445693548335585
Luxembourg,12.129673957824707
Denmark,11.701486905415853
Monaco,11.174291610717773
Maldives,11.123815536499023
United Kingdom,10.851333608887074
Ireland,9.5716775972016
Liberia,9.5
Spain,9.381493441616069
Portugal,8.897254625956217
Norway,8.490361494804496
United States of America,8.181859259142842
Fiji,8.100000381469727
Iceland,8.02125875155131
Uruguay,8
New Zealand,7.960926407575608
Australia,7.550036614591425
Canada,6.937209189674
Sweden,6.657538255441536
Estonia,6.274100261075156
Finland,6.1639959261197
